command_name	current_entry_point	current_implementation_chain	repositories_touched	tables_or_entities	accounting_impact	inventory_impact	atomicity_requirement	idempotency_requirement	offline_eligibility	o3_status	future_server_operation	expected_result_error_contract
ApplyCustomerAdvanceCommand	features/customers/customer_advance_actions_screen.dart:CustomerController.applyCustomerAdvance	CustomerController -> CustomerAccountRepository.applyAdvance	CustomerAccount	CustomerAdvances; CustomerAdvanceApplications; CustomerAccountEntries	Reduce receivable using advance	None	Advance application and ledger effect atomically	Required; operationRequestId exists	Eligible	provisionalPending	Required authoritative transactional operation	Application id/remaining advance; typed over-application, mismatch and conflict failures
RefundCustomerAdvanceCommand	features/customers/customer_advance_actions_screen.dart:CustomerController.refundCustomerAdvance	CustomerController -> CustomerAccountRepository.refundAdvance -> financial outflow	CustomerAccount; FinancialAccount	CustomerAdvanceRefunds; CustomerAccountEntries; FinancialAccountEntries	Decrease cash and advance liability	None	Refund and financial entry atomically	Required; operationRequestId exists	Eligible	provisionalPending	Required authoritative transactional operation	Refund id/remaining advance; typed account, approval and replay failures
ReverseCustomerAdvanceCommand	features/customers/customer_advance_actions_screen.dart:CustomerController.reverseCustomerAdvanceRefund	CustomerController -> CustomerAccountRepository.reverseAdvanceRefund/application	CustomerAccount; FinancialAccount	CustomerAdvanceApplications/Refunds; CustomerAccountEntries; FinancialAccountEntries	Reverses advance application/refund	None	One logical reversal transaction	Required; operationRequestId exists	Eligible	provisionalPending	Required authoritative transactional operation	Reversal result; typed owner-only, approval and conflict failures
ApplySupplierAdvanceCommand	features/suppliers/supplier_advance_actions_screen.dart:SupplierController.applySupplierAdvance	SupplierController -> SupplierAccountRepository.applyAdvance	SupplierAccount	SupplierAdvances; SupplierAdvanceApplications; SupplierAccountEntries	Reduce payable using advance	None	Advance application and ledger effect atomically	Required; operationRequestId exists	Eligible	provisionalPending	Required authoritative transactional operation	Application id/remaining advance; typed over-application, mismatch and conflict failures
RefundSupplierAdvanceCommand	features/suppliers/supplier_advance_actions_screen.dart:SupplierController.refundSupplierAdvance	SupplierController -> SupplierAccountRepository.refundAdvance -> financial inflow	SupplierAccount; FinancialAccount	SupplierAdvanceRefunds; SupplierAccountEntries; FinancialAccountEntries	Increase cash and reduce supplier advance asset	None	Refund and financial entry atomically	Required; operationRequestId exists	Eligible	provisionalPending	Required authoritative transactional operation	Refund id/remaining advance; typed original-account and replay failures
ReverseSupplierAdvanceCommand	features/suppliers/supplier_advance_actions_screen.dart:SupplierController.reverseSupplierAdvanceRefund	SupplierController -> SupplierAccountRepository.reverseAdvanceRefund/application	SupplierAccount; FinancialAccount	SupplierAdvanceApplications/Refunds; SupplierAccountEntries; FinancialAccountEntries	Reverses advance application/refund	None	One logical reversal transaction	Required; operationRequestId exists	Eligible	provisionalPending	Required authoritative transactional operation	Reversal result; typed owner-only, approval and conflict failures
SetCustomerOpeningBalanceCommand	features/customers/customers_screen.dart:CustomerController.recordOpeningBalance	CustomerController -> CustomerAccountRepository.createOpeningBalanceEntry	CustomerAccount	CustomerAccountEntries	Initial receivable/payable position	None	Single authoritative posting	Required in cloud	Offline only during governed migration/bootstrap	provisionalPending until accepted	Required authoritative operation	Entry id; typed duplicate-opening, permission and validation failures
SetSupplierOpeningBalanceCommand	features/suppliers/suppliers_screen.dart direct _accountRepo.createOpeningBalanceEntry	UI -> SupplierAccountRepository.createOpeningBalanceEntry	SupplierAccount	SupplierAccountEntries	Initial payable/advance position	None	Single authoritative posting	Required in cloud	Offline only during governed migration/bootstrap	provisionalPending until accepted	Required authoritative operation	Entry id; typed duplicate-opening, permission and validation failures
SetInventoryOpeningBalanceCommand	features/inventory/inventory_screen.dart:InventoryController.createOpeningBalance	InventoryController -> InventoryRepository.createMovement	Inventory; ProductCatalogRead; InventoryValuation; FinancialAccount; Audit	InventoryMovements; optional InventoryValuationEvents; AuditLogs	May seed inventory valuation	Increase stock	Movement/valuation/audit atomically	Required in cloud	Offline only during governed migration/bootstrap	provisionalPending until accepted	Required authoritative transactional operation	Movement id; typed duplicate-opening, profitability-freeze and validation failures
AdjustInventoryCommand	features/inventory/inventory_screen.dart and stock_adjustment_report_screen.dart:InventoryController manual increase/decrease	InventoryController -> InventoryRepository.createMovement -> valuation -> audit	Inventory; ProductCatalogRead; InventoryValuation; FinancialAccount; Audit	InventoryMovements; InventoryValuationState/Events; AuditLogs	COGS/inventory value may change	Increase or decrease	Movement, valuation and audit atomically	Required in cloud	Eligible with complete local facts	provisionalPending	Required authoritative transactional RPC/function	Movement/event ids; typed insufficient-stock, evidence, closed-period and authorization failures
RecordStocktakeAdjustmentCommand	features/inventory/stock_take_screen.dart:InventoryController manual increase/decrease isStocktake=true	InventoryController -> inventory/valuation/audit	Inventory; InventoryValuation; FinancialAccount; Audit	InventoryMovements; InventoryValuationState/Events; AuditLogs	Inventory valuation adjustment	Reconciles counted stock	Movement, valuation and audit atomically	Required in cloud	Eligible with explicit counted snapshot/version	provisionalPending	Required authoritative transactional RPC/function	Adjustment id plus before/after quantities; typed stale-count and evidence failures
CreateFinancialAccountCommand	features/financial_accounts/financial_accounts_screen.dart:FinancialAccountController.createAccount	Controller -> FinancialAccountRepository.createAccount -> audit	FinancialAccount; Audit	FinancialAccounts; AuditLogs	Creates account master	None	Account and audit atomically	Required in cloud	Eligible	provisionalPending	Authoritative server operation	Account id/version; typed duplicate-name and permission failures
ChangeFinancialAccountStateCommand	features/financial_accounts/financial_accounts_screen.dart:controller deactivate/reactivate/update policy	Controller -> FinancialAccountRepository	FinancialAccount; Audit	FinancialAccounts; AuditLogs	Changes usable account/policy	None	Account and audit atomically	Required in cloud	Eligible	provisionalPending	Authoritative server operation	Account version; typed in-use, permission and conflict failures
SetFinancialOpeningBalanceCommand	no confirmed primary UI; repository methods set/correct opening balance	Caller -> FinancialAccountRepository.setOpeningBalance/correctOpeningBalance	FinancialAccount; Audit	FinancialAccounts; FinancialAccountEntries; AuditLogs	Initial/corrected cash-equivalent balance	None	Correction group and audit atomically	Required in cloud	Offline only during governed migration/bootstrap	provisionalPending	Required authoritative transactional operation	Posting/correction ids; typed closed-period and duplicate/conflict failures
TransferAccountFundsCommand	features/financial_accounts/financial_transfers_screen.dart:FinancialAccountController.createTransfer	Controller -> FinancialAccountRepository.createTransfer -> two entries/audit/approval	FinancialAccount; NegativeBalanceApproval; Audit	FinancialTransfers; FinancialAccountEntries; AuditLogs	Moves funds; net revenue/expense/profit zero	None	Transfer plus debit/credit entries atomically	Required; current clientRequestId and unique reference are strong precursor	Eligible	provisionalPending	Required authoritative transactional RPC/function	Transfer id and before/after balances; duplicate returns same transfer; typed approval/closed-period/conflict failures
ReverseAccountTransferCommand	features/financial_accounts/financial_transfers_screen.dart:FinancialAccountController.reverseTransfer	Controller -> FinancialAccountRepository.reverseTransfer	FinancialAccount; Audit	FinancialTransfers; FinancialAccountEntries; AuditLogs	Exact inverse; net totals remain zero	None	Reversal and original linkage atomically	Required in cloud	Eligible	provisionalPending	Required authoritative transactional RPC/function	Reversal transfer id; typed already-reversed, owner-only and closed-period failures
CloseFinancialPeriodCommand	features/financial_reports/financial_closing_screen.dart direct _repo.createClosing	UI -> FinancialAccountRepository.createClosing	FinancialAccount; Audit	FinancialClosings; AuditLogs	Freezes posting dates and reconciles balances	None	Closing snapshot and audit atomically	Required in cloud	Not eligible offline unless server lease/policy explicitly permits	localDraft only; never authoritative offline	Required authoritative server operation	Closing id/version; typed mismatch, permission and stale-balance failures
ReopenFinancialPeriodCommand	features/financial_reports/financial_closing_screen.dart direct _repo.reopenClosing	UI -> FinancialAccountRepository.reopenClosing	FinancialAccount; Audit	FinancialClosings; AuditLogs	Reopens authoritative period	None	Closing update and audit atomically	Required in cloud	Not offline eligible	localDraft not executable	Required authoritative server operation	Reopened closing/version; typed owner-only/already-open/conflict failures
SubmitNegativeBalanceApprovalCommand	purchase/expense/supplier payment screens through NegativeBalanceApprovalWorkflowService	UI -> workflow.submit* -> request repository or immediate business repository	Auth; ApprovalRequest; FinancialAccount; affected business repository; Audit	NegativeBalanceApprovalRequests/Transitions plus affected tables when immediate	May authorize negative cash	Depends on wrapped operation	Request creation or immediate operation is atomic; approval request separate from execution	Required; request idempotencyKey and payloadFingerprint already modeled	Eligible to queue request but not self-authorize	provisionalPending for request; financial effect only per wrapped command	Server authoritative approval workflow	Executed value or pending request; typed stale, unauthorized and fingerprint mismatch failures
ResolveNegativeBalanceApprovalCommand	features/financial_accounts/negative_balance_approval_requests_screen.dart direct workflow approve/reject/cancel	UI -> NegativeBalanceApprovalWorkflowService -> auth reverify -> durable transaction -> wrapped command -> request transition/audit	Auth; ApprovalRequest; FinancialAccount; Supplier/Purchase/Expense; Inventory; Audit	Approval tables plus wrapped command tables	Can authorize financial mutation	May include purchase inventory	Wrapped command, approval consumption, result and transition atomically	Required; duplicate executed resolution returns existing result	Approve/reject requires online authoritative server; cancel may queue only by policy	Not authoritative until server result	Required authoritative server operation	Resolved request with resultDocumentId; typed stale, already-resolved, auth and conflict failures
ActivateProfitabilityCommand	features/financial_reports/profitability_report_screen.dart direct AppRepositories.profitabilityActivationService.activate	UI -> ProfitabilityActivationService -> catalog/inventory/valuation/audit	ProductCatalogRead; Inventory; InventoryValuation; Audit	ProfitabilityActivations; InventoryValuationState/Events; AuditLogs	Determines future COGS basis	Seeds valuation states	Activation, seeded states and audit atomically	Required in cloud	Not normally offline eligible	localDraft only	Required authoritative server operation	Activation id/date; typed already-activated, evidence and stock mismatch failures
CreateProductCommand	features/products/products_screen.dart:ProductController	Controller -> ProductRepository create/update/setActive	Product	Products	Pricing/cost reference only	Catalog identity affects stock	Single master-data transaction	Required in cloud	Eligible	provisionalPending	Normal authoritative server command	Product id/version; typed duplicate code/name and validation failures
ManageCustomerCommand	features/customers/customers_screen.dart:CustomerController	Controller -> CustomerRepository create/update/setActive	Customer	Customers	Party master affects receivable use	None	Single master-data transaction	Required in cloud	Eligible	provisionalPending	Normal authoritative server command	Customer id/version; typed duplicate and in-use failures
ManageSupplierCommand	features/suppliers/suppliers_screen.dart:SupplierController	Controller -> SupplierRepository create/update/setActive	Supplier	Suppliers	Party master affects payable use	None	Single master-data transaction	Required in cloud	Eligible	provisionalPending	Normal authoritative server command	Supplier id/version; typed duplicate and in-use failures
CreateFirstOwnerCommand	features/auth/first_owner_setup_screen.dart:AuthController.createFirstOwner	UI -> AuthScope/AuthController -> AuthRepository.createFirstOwner	Auth	AuthAccounts	Authorization boundary	None	Unique owner creation transaction	Required; one-owner invariant	Not offline in future cloud model	localDraft not executable	Supabase Auth plus server profile provisioning	Authenticated session/user or typed already-provisioned/credential failure
SignInCommand	features/auth/login_screen.dart:AuthController.signIn	UI -> AuthController -> AuthRepository.signIn	Auth	AuthAccounts/current in-memory session	Authorization boundary	None	Session operation	Provider-defined	Online required for initial cloud session; cached session policy separate	not a provisional business mutation	Supabase Auth	Authenticated SessionContext or typed invalid/inactive/network failure
SignOutCommand	features/dashboard/dashboard_shell.dart:AuthController.signOut	UI -> AuthController -> AuthRepository.signOut	Auth	In-memory session	Authorization boundary	None	Session and scoped dependency disposal coordinated	Not applicable	Eligible locally	not provisional	Supabase Auth sign-out plus local scope teardown	Success or typed local cleanup/provider failure
UpdateBusinessIdentityCommand	features/settings/settings_screen.dart and shared business identity widgets	UI -> BusinessIdentityController/BusinessIdentityRepository	BusinessIdentity; Audit	Shared preferences/files; AuditLogs	Branding only	None	Metadata/logo/audit changes coordinated	Required if cloud-shared	Eligible	provisionalPending if cloud-shared	Normal server/storage operation if shared	Updated identity/version; typed file, validation and conflict failures
RestoreImportCommand	features/backup/backup_restore_preview_screen.dart direct BackupRestoreService.restoreToEmpty	UI -> BackupRestoreService -> many durable repositories via RepositoryTransaction snapshots	All durable repositories	Nearly every business table	Full accounting replacement/import	Full inventory replacement/import	One import transaction locally; never direct cloud restore	Import artifact id/hash required	Local migration/import only	localDraft/importPending; not authoritative until validated server import	Dedicated governed server import, not generic restore	Import receipt with counts/hash; typed non-empty, checksum, version and invariant failures
WipeBusinessDataCommand	features/backup/data_wipe_screen.dart direct BusinessDataWipeService.wipeBusinessData	UI -> backup export/write -> database transaction + repository snapshots -> clear repositories	All durable repositories	Nearly every business table except trial/install artifacts	Deletes accounting data	Deletes inventory data	Export receipt and wipe transaction governed as one workflow	Required irreversible-operation id	Not offline once cloud authoritative	local request only; server decides	Required privileged authoritative server operation	Wipe receipt/export path; typed reauth, export, permission and transaction failures
EvaluateTrialCommand	lib/main.dart -> TrialService.evaluate	Bootstrap -> FileTrialStateStore.read/write	TrialStateStore	Application-support runtime.dat/.initialized	Licensing gate	None	State update atomic at file-replace level	Evaluation/session id future provider-defined	Current local only	Transitional; not authoritative	Future server-authoritative licensing check	TrialEvaluation now; future LicenseEvaluation with typed offline/grace/expired/tamper states
