id	severity	file	symbol	current_behavior	violated_future_rule	risk	recommended_migration_phase
V1-03	V1	lib/features/supplier_accounts/supplier_statement_screen.dart and lib/features/suppliers/suppliers_screen.dart	createPayment/createOpeningBalanceEntry	Screens call write repositories directly	UI business mutation -> Application Command only	Authorization/result/provisional semantics will diverge across entries	108H supplier payment/opening balance commands
V1-04	V1	lib/features/financial_reports/financial_closing_screen.dart	_repo.createClosing/reopenClosing	Screen invokes authoritative period mutations through repository	Close/reopen must be server-authoritative commands and never generic repository calls	Stale balances or offline client could close/reopen incorrectly	108I closing commands after BusinessContext
V1-05	V1	lib/features/financial_reports/profitability_report_screen.dart	AppRepositories.profitabilityActivationService.activate	Screen resolves and invokes activation workflow directly	UI must invoke explicit application command with stable result/provenance	Activation controls future COGS behavior and requires authoritative transaction	108I ActivateProfitabilityCommand
V1-06	V1	lib/features/financial_accounts/negative_balance_approval_requests_screen.dart	workflow approve/reject/cancel direct calls	Screen reaches application service through global locator and passes owner credentials	UI depends on command boundary/session re-auth capability; credentials never traverse generic business service in future	Cloud auth/session and approval execution are tightly coupled to UI and local auth	108K approval/session command boundary
V1-07	V1	lib/core/financial_accounts/drift_financial_account_repository.dart	_write/_persist	Each mutation changes an in-memory superclass then rewrites full financial tables in a later SQLite transaction	Infrastructure adapter should apply command-scoped atomic persistence with concurrency/version checks	Poor fit for multi-device authority; last-writer/concurrency and large rewrite risk	108I local FinancialCommandGateway adapter characterization
V1-08	V1	lib/core/sales/sale_repository.dart and valuation/account repositories	Local repository business logic	Price, stock, COGS, closing and approval rules live inside repository implementations	Domain rules are invoked by command handlers and share one authoritative implementation/contract	Server migration risks duplicated/divergent rules	108F preserve/extract sale domain policy behind handler; no behavior rewrite
V1-09	V1	lib/core/trial/trial_service.dart and trial_state_store.dart	TrialService.production/FileTrialStateStore	Local machine file is licensing authority and evaluate mutates it at bootstrap	Licensing is server authoritative with explicit cached/grace contract	Cannot bind license to user/business or resist copied local state	Post-boundary licensing phase before general cloud rollout
V2-01	V2	lib/features/dashboard/dashboard_screen.dart and lib/core/dashboard/dashboard_service.dart	direct reads/client KPI aggregation	Dashboard combines direct repository reads and a screen-built service without one consistency token	Query result declares confirmed/cached/provisional provenance and asOf	KPIs may mix data ages and provisional/confirmed values	108L GetDashboardSummaryQuery
V2-02	V2	lib/features/financial_reports/*	multiple screen-local services/direct repositories	Reports construct query services and read several repositories independently	Queries enter application query boundary with declared consistency mode	Official reports can mix snapshots and cannot force one server read model	108M financial query families
V2-03	V2	lib/core/*/*_controller.dart	ChangeNotifier controllers	Most controllers combine query loading, command authorization, UI error strings and domain orchestration	Handlers return typed results/errors independent of Flutter; presentation adapts them	Difficult headless/server reuse and inconsistent error mapping	Incrementally with each command/query migration
V2-04	V2	lib/core/business_identity/business_identity_repository.dart	LocalBusinessIdentityRepository	Branding identity is treated like a global local setting, not business-scoped data	Business profile is obtained using verified BusinessContext	Wrong branding/data could leak when multi-business sessions are introduced	108K business-scoped profile query after context
V2-05	V2	lib/core/backup/backup_restore_service.dart	restoreToEmpty	Restore uses repository snapshots across many durable adapters and is exposed as local application operation	Backup is export/migration artifact; cloud import is a governed server job	Treating restore as cloud authority could overwrite shared state	Dedicated migration/import phase; keep local behavior unchanged
V2-06	V2	lib/features/exports/pdf_export_service.dart and print/report screens	AppRepositories.businessIdentityRepository direct use	Export services reach global business identity during rendering	Export query/result receives business profile snapshot and provenance	Hidden global business scope prevents deterministic multi-tenant export	108M query/export dependency cleanup
V3-01	V3	lib/app/app_repositories.dart	service getters	Several service getters construct a fresh object on every access without declared lifetime	Composition root declares singleton/session/business/request lifetimes	Mostly testability/performance ambiguity, not immediate invariant failure	108E lifetime manifest
V3-02	V3	lib/core/firebase/firebase_bootstrap.dart	FirebaseBootstrap.initialize	Unrelated provider bootstrap remains in main while future target discusses Supabase	Composition root names provider responsibilities explicitly	Conceptual ambiguity only; no current data authority coupling found	Document now; revisit only in scoped provider phase
