path	symbol	classification	responsibility	dependencies	consumers	reads	writes	side_effects	transaction_owner	business_logic	persistence_knowledge	ui_knowledge	cloud_readiness_risk
lib/core/business_identity/business_identity_repository.dart	BusinessIdentityRepository; LocalBusinessIdentityRepository	Repository interface/implementation; Cache/files	Store branding/profile/logo	Shared preferences/files; AuditLogRepository	App shell; settings; print/export/header	Identity/logo	Identity/logo/audit	File and preferences I/O	No	Branding validation	Full local file/preferences knowledge	No	High: business identity is branding, not tenant BusinessContext
lib/core/trial/trial_service.dart	TrialService	Application Service; Trial/Licensing	Evaluate 14-day local trial and mutate sticky state	TrialStateStore; TrialClock	main/TrialAppGate	Trial state	Trial state	Licensing gate	File store replacement only	Trial rules	Through store	No	Critical transitional local authority; future server authoritative
lib/core/trial/trial_state_store.dart	FileTrialStateStore	Trial/Licensing; persistence adapter	Read/write guarded runtime.dat and sentinel	Dart IO; path_provider	TrialService	Files	Files	Atomic-ish replace/backup	File replacement	Integrity policy	Full path/file format knowledge	No	High: machine-local global lifetime, no user/business scope
lib/core/catalog/product_repository.dart	ProductRepository/ProductDataRepository/LocalProductRepository	Repository Interface; Repository Implementation	Product CRUD plus validation and rollback snapshots	Product domain	ProductController; purchase legacy; root	Products	Products	None in local adapter	Snapshot provider	Duplicate/active/product validation	In-memory persistence	No	Medium: interface mixes commands and reads; domain rules in repository
lib/core/catalog/drift_product_repository.dart	DriftProductRepository	Repository Implementation; SQLite Adapter	Persist product behavior	FoundationDatabase	AppRepositories	Products	Products	SQLite transaction	Per repository transaction	Delegated/duplicated validation	Full Products table knowledge	No	Medium
lib/core/catalog/product_catalog_read_repository.dart	ProductCatalogReadRepository	Read Repository	Dedicated catalog read model	Product table/domain	Many controllers/services/screens	Catalog	No	No	No	No	Abstract read boundary	No	Low: useful precedent for future query boundary
lib/core/customers/customer_repository.dart and drift_customer_repository.dart	CustomerDataRepository; Local/DriftCustomerRepository	Repository Interface/Implementation; SQLite Adapter	Customer CRUD/list/restore/wipe and validation	Audit; FoundationDatabase	CustomerController; sales; reports; root	Customers	Customers/Audit	Audit/SQLite	Per repository transaction	Duplicate/active validation	Drift class knows schema	No	Medium: mixed CQ interface
lib/core/suppliers/supplier_repository.dart and drift_supplier_repository.dart	SupplierDataRepository; Local/DriftSupplierRepository	Repository Interface/Implementation; SQLite Adapter	Supplier CRUD/list/restore/wipe	FoundationDatabase	SupplierController; purchases; reports	Suppliers	Suppliers	SQLite	Per repository transaction	Duplicate/active validation	Drift class knows schema	No	Medium: mixed CQ interface
lib/core/inventory/inventory_repository.dart and drift_inventory_repository.dart	InventoryRepository; DurableInventoryRepository; Local/DriftInventoryRepository	Repository Interface/Implementation; SQLite Adapter	Movement creation, balances and ledger	Product repository/catalog; FoundationDatabase	InventoryController; sales/purchases/dashboard	Movements/balances	Movements	SQLite	Per repository transaction/snapshot	Non-negative stock/opening rules	Drift class knows schema	No	High: command rules and query projection mixed in persistence abstraction
lib/core/inventory/inventory_controller.dart	InventoryController	Controller; application-service candidate	Load inventory and orchestrate opening/manual/stocktake adjustments	Inventory; ProductCatalogRead; Valuation; FinancialAccount; Audit	Three inventory screens	Catalog/ledger/balances/activation	Movement/valuation/audit	Notifications and audit	RepositoryTransaction snapshots	Authorization, evidence, profitability and adjustment rules	No direct schema	Yes via ChangeNotifier	High: good first-class handler candidate but UI-shaped result/errors and snapshot transaction
lib/core/inventory_valuation/inventory_valuation_repository.dart and drift_inventory_valuation_repository.dart	InventoryValuationRepository; Local/Drift implementations	Repository Interface/Implementation; Domain Service mixed with persistence	Maintain valuation states/events and COGS	FoundationDatabase	Sales; purchases; inventory; profitability	Valuation states/events	Valuation states/events	SQLite	Per repository transaction/snapshot	Substantial valuation/COGS rules	Drift adapter knows schema; local implementation owns rules	No	High: preserve invariants while extracting command ownership
lib/core/sales/sale_repository.dart and drift_sale_repository.dart	SaleRepository; Local/DriftSaleRepository	Repository Interface/Implementation; application/domain logic inside repository	Validate/post/cancel sale; mutate inventory/valuation	Catalog; Inventory; Valuation; FinancialAccount; FoundationDatabase	SaleController; dashboard/reports/history	Sales/catalog/stock	Sales/stock/valuation	SQLite and dependent writes	RepositoryTransaction plus DB transaction inside adapter	Substantial price, stock, COGS and cancellation rules	Drift wrapper knows Sales schema	No	Critical: repository is a hidden command handler and infrastructure adapter together
lib/core/sales/sale_controller.dart	SaleController	Controller; Application Service/Command Handler candidate	Authorize, load screens, post/cancel sale, customer ledger and payment entries	Sale; Catalog; Inventory; Customer; CustomerAccount; FinancialAccount	SalesScreen	Sales/catalog/balances	Sale/customer/financial repositories	Notifications	RepositoryTransaction snapshots	Authorization/routing/reversal selection	No schema	Yes via ChangeNotifier/errors	Critical: cross-repository transaction owner is presentation controller
lib/core/purchases/purchase_repository.dart and drift_purchase_repository.dart	PurchaseRepository; Local/DriftPurchaseRepository	Repository Interface/Implementation; hidden command handler	Post/cancel purchase across inventory, valuation, payable, cash, audit	Supplier; Catalog; Inventory; Valuation; SupplierAccount; FinancialAccount; Audit; DB	PurchaseController/workflow/reports	Purchase/master/balances	Many tables	SQLite/audit	Repository snapshot boundary; Drift implementation orchestrates participants	Substantial payment, stock, cancellation rules	Drift class knows schema	No	Critical: command orchestration lives in repository implementation
lib/core/purchases/purchase_controller.dart	PurchaseController	Controller; thin command/query facade	Permissions, calls purchase repository, reloads lists	Purchase; Supplier; Catalog	Purchase screens	Purchases/suppliers/catalog	Purchase repository	Notifications	Delegates	Authorization/presentation error mapping	No	Yes	Medium: usable facade but repository remains command handler
lib/core/expenses/expense_repository.dart and drift_expense_repository.dart	ExpenseRepository; Local/DriftExpenseRepository	Repository Interface/Implementation; hidden command handler	Post/reclassify expense and financial entry/audit	FinancialAccount; Audit; FoundationDatabase	ExpenseController/workflow/reports	Expenses/totals	Expenses/FinancialEntries/Audit	SQLite/audit	RepositoryTransaction snapshot	Payment routing/idempotency/classification	Drift class knows schema	No	High
lib/core/customer_accounts/customer_account_repository.dart and drift_customer_account_repository.dart	CustomerAccountRepository; Local/Drift implementations	Repository Interface/Implementation; Domain/Application service mixed	Statements, collections, opening balances, advances/refunds/reversals and financial postings	Customer; FinancialAccount; Audit; Approval; DB	CustomerController; sale controller; reports	Customer ledger/advances	Customer and financial ledger/audit	SQLite/audit	RepositoryTransaction snapshots	Substantial balances, advance, routing and approval rules	Drift wrapper knows schema	No	Critical: many commands hidden behind query-shaped repository
lib/core/supplier_accounts/supplier_account_repository.dart and drift_supplier_account_repository.dart	SupplierAccountRepository; Local/Drift implementations	Repository Interface/Implementation; Domain/Application service mixed	Statements, payments, opening balances, advances/refunds/reversals and financial postings	Supplier; FinancialAccount; Audit; Approval; DB	SupplierController; purchase repository; screens/reports	Supplier ledger/advances	Supplier and financial ledger/audit	SQLite/audit	RepositoryTransaction snapshots	Substantial balances, routing and approval rules	Drift wrapper knows schema	No	Critical
lib/core/financial_accounts/financial_account_repository.dart and drift_financial_account_repository.dart	FinancialAccountRepository; Local/Drift implementations	Repository Interface/Implementation; Domain Service; Transaction participant	Accounts, entries, transfers, closings, policies and balances	Audit; Approval; FoundationDatabase	Controllers; most financial commands/reports	Accounts/entries/transfers/closings	Same	Audit/SQLite	Local snapshots; Drift _write then full-table _persist transaction	Substantial accounting, closing and transfer invariants	Drift subclass knows full schema	No	Critical: broad mixed interface and rewrite-on-write adapter complicate cloud replacement
lib/core/financial_accounts/negative_balance_approval_workflow_service.dart	NegativeBalanceApprovalWorkflowService	Application Service; Command Handler candidate	Create/resolve durable approval requests and execute wrapped commands	Auth; requests; audit; accounts; suppliers; payments; expenses; purchases; catalog; inventory	Approval screen and mutation screens	Users/requests/current balances/master data	Requests/transitions and wrapped business command	Auth verification/audit	Database runner plus RepositoryTransaction	Substantial authorization, stale checks and command dispatch	No direct schema	No widget types	High but valuable precedent: explicit application workflow; too many concrete repository verbs and locator construction
lib/core/backup/backup_export.dart	BackupExportService	Application Service; Backup/Restore	Build versioned export artifact from repositories	Most read repositories	Backup screen/wipe service	All business data	No business writes	Serialization/checksum	No	Export validation	Knows backup JSON format	No	Medium: future export/migration artifact only
lib/core/backup/backup_restore_service.dart	BackupRestoreService	Application Service; Backup/Restore	Validate and restore into empty repositories	All durable repositories	Restore preview screen	Backup artifact/current emptiness	Most repositories	Bulk local writes	RepositoryTransaction snapshots only	Restore invariants	Backup format and repository APIs	No	High: must not become cloud restore authority
lib/core/backup/business_data_wipe_service.dart	BusinessDataWipeService	Application Service; Backup/Restore; Transaction owner	Reauthenticate/export/write artifact then wipe business data	Auth; backup; file writer; DB runner; all durable repositories	Data wipe screen	All business data	Clears all business repositories	File write/wipe/audit	Database transaction runner plus snapshots	Strong destructive-operation policy	Through abstractions, root supplies DB runner	No	High: privileged server command in cloud model
lib/core/dashboard/dashboard_service.dart	DashboardService	Application Service; Query Handler candidate	Client-side aggregate KPIs from many repositories	Sales; inventory; catalog; expense; customer/supplier accounts; financial accounts	DashboardController/screen	Many repositories	No	Clock-dependent aggregation	No	KPI calculation	No schema	No	High: useful query facade but assembled inside screen and lacks consistency/provenance
lib/core/reports/report_repository.dart	LocalReportRepository	Read Repository; Query service	Build daily report from repositories	Purchase; sale; inventory; catalog; expense; customer/supplier/financial	ReportController	Many repositories	No	No	No	Report calculations	No schema	No	High wiring risk: AppRepositories.reportRepository is static final and cannot rebind after first lazy access
lib/core/financial_accounts/financial_report_service.dart and specialist report services	FinancialReportService family	Application Service; Query Handler candidates	Build account/transfer/inflow/outflow/payment/closing reports	FinancialAccount plus customer/supplier/expense readers	Financial report screens and AI tools	Multiple repositories	No	No	No	Financial aggregation	No schema	No	Medium: service construction and consistency are screen-local
lib/core/profitability/profitability_report_service.dart	ProfitabilityReportService	Application Service; Query Handler candidate	Build profitability/COGS report	Valuation; sales; expenses	Profitability screen	Valuation/sales/expenses	No	No	No	Profit calculation	No schema	No	Medium
lib/features/* and lib/shared/*	43 AppRepositories consumer files	UI Screens/Widgets; Service Locator consumers	Construct controllers/services or directly call repositories	AppRepositories globals	Users	Many queries	Several commands	Navigation/dialog/file/UI effects	Sometimes controller/repository owns	Some dialogs/screens compute routing/approval inputs	Know repository/service abstractions and global locator	Yes	Critical: 152 static locator references prevent scoped replacement and provenance-aware results
lib/core/firebase/firebase_bootstrap.dart	FirebaseBootstrap	Bootstrap; Singleton provider initialization	Initialize existing Firebase app when supported	firebase_core	main	Provider config	Provider global state	Network/provider initialization	No	No	Provider knowledge	No	Low for 108D; unrelated to future Supabase data authority and unchanged
