query_name	current_consumers	current_repository_or_service	current_source_of_truth	ui_reads_repository_directly	cache_suitability	stale_tolerance	display_mode	proposed_application_boundary	future_cloud_local_behavior
GetFinancialAccountsQuery	Account screens; sales/purchases/expenses/payment dialogs; reports	FinancialAccountRepository.listAccounts/allAccountBalances	SQLite FinancialAccounts/FinancialAccountEntries	Yes broadly	High	Short for display; zero for routing/approval	confirmed and provisional separated	FinancialAccountQueries.getAccounts	Cache-first; server refresh for payment routing, negative-balance and closing decisions
GetAccountStatementQuery	Account statement and financial reports	FinancialAccountRepository.statementForAccount	SQLite FinancialAccountEntries	Yes	High	Low for official report	confirmed default; optional provisional section	FinancialAccountQueries.getStatement	Cached confirmed with asOf; server refresh for official/closing views
GetTransfersQuery	Transfer screen/report	FinancialAccountRepository.listTransfers and FinancialReportService	SQLite FinancialTransfers/Entries	Yes	High	Low	both, status labeled	FinancialAccountQueries.getTransfers	Cache plus provisional transfer overlay; authoritative totals exclude unconfirmed by default
GetClosingReportsQuery	Financial closing screen and AI/report tools	FinancialAccountRepository.listClosings plus FinancialReportService	SQLite FinancialClosings/Entries	Yes	Medium	Zero for close/reopen; low for historical view	server-confirmed only for official closing	FinancialClosingQueries.getClosings/getReconciliation	Cloud-first or forced refresh; cached immutable historical closing allowed
GetDashboardSummaryQuery	Dashboard screen	DashboardService plus direct repositories	Derived client-side from sales, expenses, collections, supplier payments, accounts, stock	Yes; screen also makes direct reads	High	Short with visible asOf	confirmed KPI set plus separately labeled provisional deltas	DashboardQueries.getSummary	Prefer server aggregate; cached confirmed snapshot plus optional provisional operational overlay
GetSalesQuery	Sales screen; dashboard; reports; document history	SaleRepository.listSales	SQLite Sales	Yes	High	Short for list; low for invoice export	both with status	SaleQueries.getSales/getSaleDetail	Cache-first list/detail; confirmed-only official invoice unless provisional watermark
GetPurchasesQuery	Purchases and supplier purchase screens; reports; history	PurchaseRepository.listPurchaseIntakes	SQLite Purchases	Yes	High	Short for list; low for invoice export	both with status	PurchaseQueries.getPurchases/getPurchaseDetail	Cache-first; official export includes confirmation provenance
GetExpensesQuery	Expenses; dashboard; financial reports	ExpenseRepository.listExpenses/totalExpensesQirsh	SQLite Expenses	Yes	High	Short for dashboard; low for official report	both; reports default confirmed	ExpenseQueries.getExpenses/getTotals	Cache plus provisional overlay; financial report policy selects confirmedOnly by default
GetDailyActivityReportQuery	Reports screen/export	ReportRepository.dailyActivityReport	LocalReportRepository composed from the repository graph present at its first lazy access	Indirect through controller, but repository is obtained from locator	Medium	Low	confirmed default; optional provisional appendix	ReportQueries.getDailyActivity	Server aggregate preferred; replace immutable capture with business-scoped query construction before adapter migration
GetFinancialReportsQuery	Financial report screens and AI tools	FinancialReportService and specialist report services over multiple repositories	Client-derived from SQLite account/customer/supplier/expense data	Yes; services are built in screens	Medium	Low	confirmed-only default; provisional appendix explicit	FinancialReportQueries family	Server-confirmed aggregates or cached immutable snapshots; forced refresh for official export
GetProfitabilityReportQuery	Profitability report screen	ProfitabilityReportService	Derived from SQLite valuation, sales and expenses	Yes	Medium	Low	confirmed-only default	ProfitabilityQueries.getReport	Server aggregate preferred; cached confirmed allowed with asOf; no silent provisional COGS
GetAuditLogQuery	Audit screen	AuditLogReadRepository/DurableAuditLogRepository	SQLite AuditLogs	Via controller constructed from locator	High	Minutes for browsing	confirmed plus locally pending audit events only if labeled	AuditQueries.getAuditLog	Append-only server-confirmed stream cached locally; local pending audit events segregated
GetDocumentHistoryQuery	Document history screen	LocalDocumentHistoryRepository over sales/purchases/catalog/inventory	Derived client-side from SQLite repositories	Via controller constructed from locator	High	Minutes	both with per-document status	DocumentQueries.getHistory	Server query/read model preferred; local cache and provisional overlay
GetNegativeBalanceApprovalRequestsQuery	Approval requests screen	NegativeBalanceApprovalRequestRepository via workflow/locator	SQLite request and transition tables	Yes	High	Very low for pending queue	server-confirmed pending/resolved; queued local request labeled	ApprovalQueries.getRequests/getRequest	Cloud-first for actionable queue; cached resolved history; forced refresh before resolution
GetUsersAndPermissionsQuery	Auth gate/controllers and approval workflow	AuthRepository.currentUser/getUserById	SQLite AuthAccounts plus in-memory current user	Through AuthController; workflow reads repository	Low for credentials; medium for profile	Session-bound; permissions must be fresh for mutation	server-confirmed SessionContext	SessionQueries.currentSession/getUsers (owner only)	Supabase Auth session plus server business membership/role; never trust cached permission for authorization
GetTrialStateQuery	TrialAppGate/bootstrap	TrialEvaluator/TrialStateStore	Local files runtime.dat and .initialized	Bootstrap receives evaluator	Low as authoritative future source	Current evaluation only	current local result; future server-confirmed license with explicit grace status	LicensingQueries.evaluate	Server-authoritative license; bounded cached grace response if policy permits
GetBackupMetadataQuery	Backup export/restore screens	BackupExportService and BackupRestorePreviewService	Generated local artifact/checksum; no durable metadata repository	Direct service use	High for local artifact list if added	High	artifact metadata only; never cloud authority	BackupQueries.getExportMetadata/getImportPreview	Local/export registry or server migration job metadata; not authoritative restore state
GetBusinessIdentityQuery	Header; settings; print/export	BusinessIdentityRepository	Local shared preferences/files	Yes via locator in many consumers	High	Hours	confirmed local/current business branding; future tenant version	BusinessProfileQueries.getCurrentBusinessProfile	Business-scoped cache backed by cloud; context supplies businessId, query does not invent it
